cluster_84	kernel_243_number_of_sequence_8335
cluster_85	kernel_49_number_of_sequence_9075
cluster_86	kernel_744_number_of_sequence_1913
cluster_87	kernel_782_number_of_sequence_14563,kernel_87_number_of_sequence_4714
cluster_88	kernel_201_number_of_sequence_4270
cluster_89	kernel_237_number_of_sequence_3946
cluster_90	kernel_639_number_of_sequence_9073
cluster_91	kernel_274_number_of_sequence_1126,kernel_541_number_of_sequence_1977
cluster_92	kernel_103_number_of_sequence_6756
cluster_93	kernel_8_number_of_sequence_1311
cluster_94	kernel_872_number_of_sequence_3540
cluster_95	kernel_364_number_of_sequence_3931
cluster_96	kernel_834_number_of_sequence_10347
cluster_97	kernel_104_number_of_sequence_5233
cluster_98	kernel_173_number_of_sequence_13852
cluster_99	kernel_99_number_of_sequence_5594
cluster_100	kernel_490_number_of_sequence_4606
cluster_101	kernel_337_number_of_sequence_4620
cluster_102	kernel_249_number_of_sequence_8045
cluster_103	kernel_699_number_of_sequence_5543
cluster_104	kernel_528_number_of_sequence_1194
cluster_105	kernel_352_number_of_sequence_2332
cluster_106	kernel_411_number_of_sequence_5341
cluster_107	kernel_533_number_of_sequence_449
cluster_108	kernel_120_number_of_sequence_116
cluster_109	kernel_822_number_of_sequence_14974
cluster_110	kernel_108_number_of_sequence_4281
cluster_111	kernel_335_number_of_sequence_1948
cluster_112	kernel_50_number_of_sequence_3413
cluster_113	kernel_622_number_of_sequence_2338
cluster_114	kernel_674_number_of_sequence_4278
cluster_115	kernel_278_number_of_sequence_2148
cluster_116	kernel_250_number_of_sequence_2570
cluster_117	kernel_242_number_of_sequence_593
cluster_118	kernel_327_number_of_sequence_10216
cluster_119	kernel_551_number_of_sequence_3861
cluster_120	kernel_808_number_of_sequence_1470
cluster_121	kernel_350_number_of_sequence_1426
cluster_122	kernel_195_number_of_sequence_221
cluster_123	kernel_842_number_of_sequence_4117
cluster_124	kernel_175_number_of_sequence_2711
cluster_125	kernel_380_number_of_sequence_10271
cluster_126	kernel_445_number_of_sequence_2158
cluster_127	kernel_69_number_of_sequence_560
cluster_128	kernel_376_number_of_sequence_2909
cluster_129	kernel_313_number_of_sequence_1947
cluster_130	kernel_263_number_of_sequence_2858
cluster_131	kernel_299_number_of_sequence_3070
cluster_132	kernel_844_number_of_sequence_9898
cluster_133	kernel_643_number_of_sequence_8261
cluster_134	kernel_465_number_of_sequence_8025
cluster_135	kernel_627_number_of_sequence_2998
cluster_136	kernel_582_number_of_sequence_247
cluster_137	kernel_579_number_of_sequence_2259
cluster_138	kernel_307_number_of_sequence_2230
cluster_139	kernel_763_number_of_sequence_1092
cluster_140	kernel_254_number_of_sequence_1500
cluster_141	kernel_752_number_of_sequence_177
cluster_142	kernel_509_number_of_sequence_1169
cluster_143	kernel_36_number_of_sequence_4219
cluster_144	kernel_410_number_of_sequence_440
cluster_145	kernel_758_number_of_sequence_1574
cluster_146	kernel_798_number_of_sequence_940
cluster_147	kernel_246_number_of_sequence_2198
cluster_148	kernel_429_number_of_sequence_2315
cluster_149	kernel_355_number_of_sequence_9742
cluster_150	kernel_56_number_of_sequence_11315
cluster_151	kernel_716_number_of_sequence_5677
cluster_152	kernel_640_number_of_sequence_6397
cluster_153	kernel_717_number_of_sequence_10667
cluster_154	kernel_177_number_of_sequence_2458
cluster_155	kernel_154_number_of_sequence_5023
cluster_156	kernel_72_number_of_sequence_1637
cluster_157	kernel_522_number_of_sequence_7475
cluster_158	kernel_544_number_of_sequence_5939
cluster_159	kernel_501_number_of_sequence_2346
cluster_160	kernel_190_number_of_sequence_1121
cluster_161	kernel_886_number_of_sequence_490
cluster_162	kernel_30_number_of_sequence_2559
cluster_163	kernel_48_number_of_sequence_4073
