cluster_67	2020-03-04t14-27-25z_m180_kernel_479_number_of_sequence_7131	kernel_479_number_of_sequence_7131
cluster_68	2020-03-04t14-27-25z_m29_kernel_74_number_of_sequence_5220	kernel_74_number_of_sequence_5220
cluster_69	2020-03-04t14-27-25z_m309_kernel_837_number_of_sequence_4599	kernel_837_number_of_sequence_4599
cluster_70	2020-03-04t14-27-25z_m47_kernel_129_number_of_sequence_2038	kernel_129_number_of_sequence_2038
cluster_71	2020-03-04t14-27-25z_m46_kernel_126_number_of_sequence_2930	kernel_126_number_of_sequence_2930
cluster_72	2020-03-04t14-27-25z_m34_kernel_89_number_of_sequence_908	kernel_89_number_of_sequence_908
cluster_73	2020-03-04t14-27-25z_m315_kernel_850_number_of_sequence_2010	kernel_850_number_of_sequence_2010
cluster_74	2020-03-04t14-27-25z_m121_kernel_316_number_of_sequence_4744	kernel_316_number_of_sequence_4744
cluster_75	2020-03-04t14-27-25z_m112_kernel_293_number_of_sequence_11260	kernel_293_number_of_sequence_11260
cluster_76	2020-03-04t14-27-25z_m242_kernel_664_number_of_sequence_5488	kernel_664_number_of_sequence_5488
cluster_77	2020-03-04t14-27-25z_m5_kernel_9_number_of_sequence_969	kernel_9_number_of_sequence_969
cluster_78	2020-03-04t14-27-25z_m78_kernel_208_number_of_sequence_2838	kernel_208_number_of_sequence_2838
cluster_79	2020-03-04t14-27-25z_m264_kernel_709_number_of_sequence_973	kernel_709_number_of_sequence_973
cluster_80	2020-03-04t14-27-25z_m226_kernel_618_number_of_sequence_11256	kernel_618_number_of_sequence_11256
cluster_81	2020-03-04t14-27-25z_m60_kernel_167_number_of_sequence_5040	kernel_167_number_of_sequence_5040
cluster_82	2020-03-04t14-27-25z_m17_kernel_54_number_of_sequence_10281	kernel_54_number_of_sequence_10281
cluster_83	2020-03-04t14-27-25z_m277_kernel_749_number_of_sequence_4981	kernel_749_number_of_sequence_4981
cluster_84	2020-03-04t14-27-25z_m90_kernel_243_number_of_sequence_8335	kernel_243_number_of_sequence_8335
cluster_85	2020-03-04t14-27-25z_m14_kernel_49_number_of_sequence_9075	kernel_49_number_of_sequence_9075
cluster_86	2020-03-04t14-27-25z_m274_kernel_744_number_of_sequence_1913	kernel_744_number_of_sequence_1913
cluster_87	2020-03-04t14-27-25z_m289_kernel_782_number_of_sequence_14563	kernel_782_number_of_sequence_14563
cluster_88	2020-03-04t14-27-25z_m73_kernel_201_number_of_sequence_4270	kernel_201_number_of_sequence_4270
cluster_89	2020-03-04t14-27-25z_m86_kernel_237_number_of_sequence_3946	kernel_237_number_of_sequence_3946
cluster_90	2020-03-04t14-27-25z_m235_kernel_639_number_of_sequence_9073	kernel_639_number_of_sequence_9073
cluster_91	2020-03-04t14-27-25z_m105_kernel_274_number_of_sequence_1126	kernel_274_number_of_sequence_1126
cluster_92	2020-03-04t14-27-25z_m39_kernel_103_number_of_sequence_6756	kernel_103_number_of_sequence_6756
cluster_93	2020-03-04t14-27-25z_m4_kernel_8_number_of_sequence_1311	kernel_8_number_of_sequence_1311
cluster_94	2020-03-04t14-27-25z_m321_kernel_872_number_of_sequence_3540	kernel_872_number_of_sequence_3540
cluster_95	2020-03-04t14-27-25z_m143_kernel_364_number_of_sequence_3931	kernel_364_number_of_sequence_3931
cluster_96	2020-03-04t14-27-25z_m308_kernel_834_number_of_sequence_10347	kernel_834_number_of_sequence_10347
