#cluster	node_ID	child_1	child_2	IC	IC_child_1	IC_child_2	Sites	Sites_child_1	Sites_child_2
cluster_2	4	2020-03-04t14-27-25z_m194_kernel_513_number_of_sequence_11238	2020-03-04t14-27-25z_m210_kernel_562_number_of_sequence_7574	7.42	7.30	7.94	18812	11238	7574
cluster_2	61	2020-03-04t14-27-25z_m293_kernel_790_number_of_sequence_5629	2020-03-04t14-27-25z_m8_kernel_21_number_of_sequence_14540	4.36	5.63	4.43	20169	5629	14540
cluster_20	1	2020-03-04t14-27-25z_m175_kernel_466_number_of_sequence_12402	2020-03-04t14-27-25z_m62_kernel_171_number_of_sequence_6555	4.36	4.78	5.46	18957	12402	6555
cluster_21	1	2020-03-04t14-27-25z_m145_kernel_371_number_of_sequence_14518	2020-03-04t14-27-25z_m3_kernel_6_number_of_sequence_5269	3.86	4.26	4.99	19787	14518	5269
cluster_24	1	2020-03-04t14-27-25z_m170_kernel_451_number_of_sequence_6565	2020-03-04t14-27-25z_m291_kernel_784_number_of_sequence_8270	3.66	4.50	4.33	14835	6565	8270
cluster_27	1	2020-03-04t14-27-25z_m102_kernel_266_number_of_sequence_1637	2020-03-04t14-27-25z_m186_kernel_492_number_of_sequence_1572	2.22	2.47	2.81	3209	1637	1572
cluster_28	1	2020-03-04t14-27-25z_m178_kernel_475_number_of_sequence_11771	2020-03-04t14-27-25z_m229_kernel_625_number_of_sequence_9753	4.57	3.90	5.88	21524	11771	9753
cluster_29	1	2020-03-04t14-27-25z_m182_kernel_483_number_of_sequence_9967	2020-03-04t14-27-25z_m299_kernel_806_number_of_sequence_8504	3.96	4.38	4.16	18471	9967	8504
cluster_3	18	16	17	3.14	3.43	2.52	178913	15579	163334
cluster_3	17	2020-03-04t14-27-25z_m55_kernel_153_number_of_sequence_6756	15	2.52	3.97	2.53	163334	6756	156578
cluster_3	15	2020-03-04t14-27-25z_m209_kernel_555_number_of_sequence_12332	14	2.53	2.33	2.65	156578	12332	144246
cluster_3	14	2020-03-04t14-27-25z_m110_kernel_284_number_of_sequence_14441	13	2.65	4.42	2.59	144246	14441	129805
cluster_3	13	9	12	2.59	1.99	3.00	129805	24822	104983
cluster_3	12	7	11	3.00	4.08	2.97	104983	32566	72417
cluster_3	7	2020-03-04t14-27-25z_m171_kernel_456_number_of_sequence_14636	1	4.08	4.45	4.25	32566	14636	17930
cluster_3	1	2020-03-04t14-27-25z_m126_kernel_329_number_of_sequence_7530	2020-03-04t14-27-25z_m164_kernel_439_number_of_sequence_10400	4.25	4.73	4.30	17930	7530	10400
cluster_3	11	5	10	2.97	3.44	3.02	72417	28729	43688
cluster_3	10	2020-03-04t14-27-25z_m43_kernel_111_number_of_sequence_10005	6	3.02	3.23	3.26	43688	10005	33683
cluster_3	6	2020-03-04t14-27-25z_m116_kernel_305_number_of_sequence_6548	3	3.26	2.93	3.55	33683	6548	27135
cluster_3	3	2020-03-04t14-27-25z_m59_kernel_166_number_of_sequence_8964	2	3.55	3.81	3.74	27135	8964	18171
cluster_3	2	2020-03-04t14-27-25z_m181_kernel_480_number_of_sequence_8643	2020-03-04t14-27-25z_m220_kernel_600_number_of_sequence_9528	3.74	3.65	4.26	18171	8643	9528
cluster_3	5	2020-03-04t14-27-25z_m305_kernel_830_number_of_sequence_14608	4	3.44	3.86	3.47	28729	14608	14121
cluster_3	4	2020-03-04t14-27-25z_m231_kernel_629_number_of_sequence_10591	2020-03-04t14-27-25z_m278_kernel_751_number_of_sequence_3530	3.47	3.87	3.02	14121	10591	3530
cluster_3	9	2020-03-04t14-27-25z_m191_kernel_507_number_of_sequence_12697	8	1.99	1.89	2.61	24822	12697	12125
cluster_3	8	2020-03-04t14-27-25z_m270_kernel_727_number_of_sequence_4725	2020-03-04t14-27-25z_m74_kernel_203_number_of_sequence_7400	2.61	3.44	2.65	12125	4725	7400
cluster_3	16	2020-03-04t14-27-25z_m253_kernel_683_number_of_sequence_8235	2020-03-04t14-27-25z_m318_kernel_859_number_of_sequence_7344	3.43	4.15	3.48	15579	8235	7344
cluster_30	1	2020-03-04t14-27-25z_m1_kernel_1_number_of_sequence_1840	2020-03-04t14-27-25z_m70_kernel_187_number_of_sequence_1433	2.58	2.94	3.16	3273	1840	1433
cluster_34	1	2020-03-04t14-27-25z_m287_kernel_776_number_of_sequence_11654	2020-03-04t14-27-25z_m317_kernel_855_number_of_sequence_3539	3.59	4.46	3.02	15193	11654	3539
cluster_4	1	2020-03-04t14-27-25z_m162_kernel_434_number_of_sequence_6452	2020-03-04t14-27-25z_m212_kernel_565_number_of_sequence_8914	5.31	5.56	5.48	15366	6452	8914
cluster_41	1	2020-03-04t14-27-25z_m58_kernel_158_number_of_sequence_11658	2020-03-04t14-27-25z_m9_kernel_22_number_of_sequence_8273	3.57	4.75	3.93	19931	11658	8273
cluster_42	1	2020-03-04t14-27-25z_m127_kernel_331_number_of_sequence_5427	2020-03-04t14-27-25z_m217_kernel_588_number_of_sequence_5855	3.60	2.93	3.49	11282	5427	5855
